# STATION: KHMN,,,,,
# STATION NAME: Holloman Air Force Base,,,,,
# LATITUDE: 32.85,,,,,
# LONGITUDE: -106.1,,,,,
# ELEVATION [ft]: 4094,,,,,
# STATE: NM,,,,,
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1
,,Celsius,%,m/s,Degrees
KHMN,01/26/2015 23:58 MDT,3.7,74,4.12,60
KHMN,01/27/2015 00:58 MDT,3.2,73.91,1.03,50
KHMN,01/27/2015 01:58 MDT,1,82.75,0,0
KHMN,01/27/2015 02:58 MDT,0.4,85.15,0,0
KHMN,01/27/2015 03:58 MDT,0.7,85.81,2.57,10
KHMN,01/27/2015 04:58 MDT,2.3,81.12,2.06,80
KHMN,01/27/2015 05:58 MDT,3.2,77.22,2.06,80
KHMN,01/27/2015 06:58 MDT,2,82.28,0,0
KHMN,01/27/2015 07:58 MDT,2.1,78.75,1.54,200
KHMN,01/27/2015 08:58 MDT,2.5,84.77,0,0
KHMN,01/27/2015 09:58 MDT,4.5,76.88,0,0
KHMN,01/27/2015 10:58 MDT,9.8,55.84,0,0
KHMN,01/27/2015 11:58 MDT,12.2,44.31,0.51,
KHMN,01/27/2015 12:58 MDT,15,39.41,1.54,250
KHMN,01/27/2015 13:58 MDT,17.2,32.81,1.03,200
KHMN,01/27/2015 14:58 MDT,18.2,33.82,1.03,300
KHMN,01/27/2015 15:58 MDT,19,35.79,0,0
KHMN,01/27/2015 16:58 MDT,18.5,39.61,0,0
KHMN,01/27/2015 17:58 MDT,18.4,40.14,0,0
KHMN,01/27/2015 18:58 MDT,13.5,60.48,2.57,300
KHMN,01/27/2015 19:58 MDT,10.2,69.16,3.09,30
KHMN,01/27/2015 20:58 MDT,8.8,69.36,3.6,40
KHMN,01/27/2015 21:58 MDT,7.6,74.19,3.09,80
KHMN,01/27/2015 22:58 MDT,8.2,71.22,2.06,100
KHMN,01/27/2015 23:58 MDT,4.9,82.07,0,0
KHMN,01/28/2015 00:58 MDT,5.3,80.96,2.06,100
KHMN,01/28/2015 01:58 MDT,4,83.14,1.03,100
KHMN,01/28/2015 02:58 MDT,3.3,84.25,0,0
KHMN,01/28/2015 03:58 MDT,2.3,87.88,2.57,200
KHMN,01/28/2015 04:58 MDT,3.5,84.89,3.6,30
KHMN,01/28/2015 05:58 MDT,5.3,83.3,2.06,120
KHMN,01/28/2015 06:58 MDT,2.8,86.66,2.57,300
KHMN,01/28/2015 07:58 MDT,2.1,93.08,2.57,50
KHMN,01/28/2015 08:58 MDT,3.9,89.29,2.06,60
KHMN,01/28/2015 09:58 MDT,9.7,71.02,1.03,10
KHMN,01/28/2015 10:58 MDT,13.8,58.49,4.12,290
KHMN,01/28/2015 11:58 MDT,15.7,53.21,3.6,320
KHMN,01/28/2015 12:58 MDT,18.6,42.5,4.63,350
KHMN,01/28/2015 13:58 MDT,20,31.33,2.57,310
KHMN,01/28/2015 14:58 MDT,21,30.1,2.06,230
KHMN,01/28/2015 15:58 MDT,20.5,29.74,1.03,320
KHMN,01/28/2015 16:58 MDT,20.6,28.52,0,0
KHMN,01/28/2015 17:58 MDT,19.8,31.95,0,0
KHMN,01/28/2015 18:58 MDT,17,38.89,0,0
KHMN,01/28/2015 19:58 MDT,12.9,50.62,0,0
KHMN,01/28/2015 20:58 MDT,9.7,56.22,2.57,90
KHMN,01/28/2015 21:58 MDT,8.8,57.62,4.12,70
KHMN,01/28/2015 22:58 MDT,8.5,57.95,4.12,80
KHMN,01/28/2015 23:58 MDT,7.3,65.19,2.06,240
KHMN,01/29/2015 00:58 MDT,6.3,70.84,2.06,10
KHMN,01/29/2015 01:58 MDT,7.3,68.55,3.6,20
KHMN,01/29/2015 02:58 MDT,7.8,67.68,3.6,50
KHMN,01/29/2015 03:58 MDT,8.3,65.42,2.57,
KHMN,01/29/2015 04:58 MDT,7.2,71.53,2.57,270
KHMN,01/29/2015 05:58 MDT,6,81.06,2.57,340
KHMN,01/29/2015 06:58 MDT,6.2,79.95,1.03,240
KHMN,01/29/2015 07:58 MDT,5.4,80.98,1.54,180
KHMN,01/29/2015 08:58 MDT,5.7,81.02,3.09,160
KHMN,01/29/2015 09:58 MDT,6.9,77.28,1.03,60
KHMN,01/29/2015 10:58 MDT,9,67.94,2.06,90
KHMN,01/29/2015 11:58 MDT,10.9,62.41,2.06,160
KHMN,01/29/2015 12:58 MDT,13.3,51.45,3.6,130
KHMN,01/29/2015 13:58 MDT,14.7,45.36,2.57,170
KHMN,01/29/2015 14:58 MDT,15.4,43.36,2.06,180
KHMN,01/29/2015 15:58 MDT,15.5,43.39,1.03,150
KHMN,01/29/2015 16:58 MDT,15.2,38.08,2.57,190
KHMN,01/29/2015 17:58 MDT,14.4,43.38,2.57,220
KHMN,01/29/2015 18:58 MDT,12.4,54.57,1.54,50
KHMN,01/29/2015 19:58 MDT,11.6,54.36,3.09,320
KHMN,01/29/2015 20:58 MDT,10.5,59.73,4.63,280
KHMN,01/29/2015 21:58 MDT,10.1,57.95,3.6,290
KHMN,01/29/2015 22:58 MDT,9.3,63.36,3.6,340
KHMN,01/29/2015 23:58 MDT,9.2,62,2.57,340
KHMN,01/30/2015 00:58 MDT,8.5,63.17,1.54,340
KHMN,01/30/2015 01:58 MDT,8.1,64.45,2.57,350
KHMN,01/30/2015 02:58 MDT,7.7,70.12,2.57,310
KHMN,01/30/2015 03:36 MDT,8,65.82,0,0
KHMN,01/30/2015 03:58 MDT,7.3,73.09,1.03,20
KHMN,01/30/2015 04:01 MDT,7,75.67,0,0
KHMN,01/30/2015 04:08 MDT,7,75.67,1.54,20
KHMN,01/30/2015 04:46 MDT,7,75.67,1.54,20
KHMN,01/30/2015 04:58 MDT,6.4,81.69,0,0
KHMN,01/30/2015 05:01 MDT,6,86.99,2.57,220
KHMN,01/30/2015 05:10 MDT,6,86.99,4.12,220
KHMN,01/30/2015 05:58 MDT,5.4,93.92,4.63,220
KHMN,01/30/2015 05:59 MDT,5,100,4.63,220
KHMN,01/30/2015 06:58 MDT,4.7,99.3,3.6,220
KHMN,01/30/2015 07:58 MDT,4.7,99.3,2.57,230
KHMN,01/30/2015 08:58 MDT,4.6,99.3,3.09,230
KHMN,01/30/2015 09:07 MDT,5,100,3.6,220
KHMN,01/30/2015 09:17 MDT,5,100,2.57,220
KHMN,01/30/2015 09:18 MDT,5,100,2.57,220
KHMN,01/30/2015 09:31 MDT,5,100,3.09,230
KHMN,01/30/2015 09:40 MDT,5,100,3.09,230
KHMN,01/30/2015 09:58 MDT,4.6,100,2.57,230
KHMN,01/30/2015 10:49 MDT,6,100,4.63,230
KHMN,01/30/2015 11:20 MDT,6,100,2.57,220
KHMN,01/30/2015 11:46 MDT,6,93.3,1.54,210
KHMN,01/30/2015 11:58 MDT,6.5,91.4,1.54,220
KHMN,01/30/2015 12:39 MDT,7,87.09,0,0
KHMN,01/30/2015 12:48 MDT,7,87.09,0.51,
KHMN,01/30/2015 12:57 MDT,7,87.09,1.54,300
KHMN,01/30/2015 12:58 MDT,7.1,86.49,2.06,300
KHMN,01/30/2015 13:01 MDT,7,87.09,2.06,300
KHMN,01/30/2015 13:04 MDT,7,87.09,2.57,310
KHMN,01/30/2015 13:37 MDT,7,87.09,2.57,340
KHMN,01/30/2015 13:49 MDT,7,87.09,2.57,340
KHMN,01/30/2015 13:52 MDT,7,87.09,2.57,340
KHMN,01/30/2015 13:58 MDT,7,87.7,2.06,350
KHMN,01/30/2015 14:01 MDT,7,87.09,2.57,340
KHMN,01/30/2015 14:05 MDT,7,87.09,2.06,350
KHMN,01/30/2015 14:11 MDT,7,87.09,2.57,10
KHMN,01/30/2015 14:20 MDT,7,87.09,2.57,20
KHMN,01/30/2015 14:50 MDT,7,87.09,2.06,350
KHMN,01/30/2015 14:58 MDT,7,88.93,2.57,
KHMN,01/30/2015 14:59 MDT,7,87.09,2.57,350
KHMN,01/30/2015 15:02 MDT,7,87.09,2.57,350
KHMN,01/30/2015 15:17 MDT,7,87.09,2.06,10
KHMN,01/30/2015 15:53 MDT,7,93.35,3.6,20
KHMN,01/30/2015 15:56 MDT,7,93.35,3.6,30
KHMN,01/30/2015 15:58 MDT,6.8,92.69,3.6,30
KHMN,01/30/2015 16:04 MDT,7,93.35,3.09,360
KHMN,01/30/2015 16:58 MDT,6.7,96.62,3.6,350
KHMN,01/30/2015 17:52 MDT,7,93.35,3.6,340
KHMN,01/30/2015 17:58 MDT,6.6,98.63,3.09,330
KHMN,01/30/2015 17:59 MDT,7,93.35,3.09,320
KHMN,01/30/2015 18:12 MDT,6,100,2.57,310
KHMN,01/30/2015 18:58 MDT,6.1,98.63,2.57,340
KHMN,01/30/2015 19:22 MDT,6,100,3.6,350
KHMN,01/30/2015 19:46 MDT,6,100,2.57,340
KHMN,01/30/2015 19:58 MDT,5.9,100,1.54,340
KHMN,01/30/2015 20:16 MDT,6,100,1.54,30
KHMN,01/30/2015 20:58 MDT,5.9,100,2.06,10
KHMN,01/30/2015 21:01 MDT,6,100,2.06,10
