"TOA5","Tower2","CR1000","67785","CR1000.Std.27.04","CPU:106330-4(No 212).CR1","60482","SixHr"
"TIMESTAMP","RECORD","MaxAT","MinAT","TotPrec"
"TS","RN","Deg_C","Deg_C",""
"","","Max","Min","Tot"
"2015-08-03 12:00:00",666,34.6,21.3,0
"2015-08-03 18:00:00",667,38.2,32.6,0
"2015-08-03 24:00:00",668,33.5,24.1,0
"2015-08-04 06:00:00",669,24.1,18.9,0
"2015-08-04 12:00:00",670,35.4,19.1,0
"2015-08-04 18:00:00",671,38.2,34,0
"2015-08-04 24:00:00",672,35.3,24.2,0
"2015-08-05 06:00:00",673,24.6,19.1,0
"2015-08-05 12:00:00",674,40.9,19.9,0
"2015-08-05 18:00:00",675,40.5,37.3,0
"2015-08-05 24:00:00",676,38,25.6,0
"2015-08-06 06:00:00",677,25.6,19.2,0
"2015-08-06 12:00:00",678,36.7,19.8,0
"2015-08-06 18:00:00",679,40.5,33.9,0
"2015-08-06 24:00:00",680,34,26.5,0
"2015-08-07 06:00:00",681,29.1,20.2,0
"2015-08-07 12:00:00",682,38.4,20.7,0
"2015-08-07 18:00:00",683,42.5,35.9,0
"2015-08-07 24:00:00",684,35.9,27.7,0
"2015-08-08 06:00:00",685,28.2,23.9,0
"2015-08-08 12:00:00",686,33,24,0
"2015-08-08 18:00:00",687,37.2,32.2,0
"2015-08-08 24:00:00",688,32.8,23.8,0
"2015-08-09 06:00:00",689,23.9,20.9,0
"2015-08-09 12:00:00",690,33.7,20.9,0
"2015-08-09 18:00:00",691,38.2,33.1,0
"2015-08-09 24:00:00",692,33.1,25.4,0
"2015-08-10 06:00:00",693,26.4,23.3,0
"2015-08-10 12:00:00",694,33.9,23.5,0
"2015-08-10 18:00:00",695,36.6,30.1,0
"2015-08-10 24:00:00",696,31.2,22.5,0
"2015-08-11 06:00:00",697,22.5,19.8,0
"2015-08-11 12:00:00",698,33.8,20.1,0
"2015-08-11 18:00:00",699,34.5,32.6,0
"2015-08-11 24:00:00",700,33.1,23.6,0
"2015-08-12 06:00:00",701,26.5,18.8,0
"2015-08-12 12:00:00",702,34.5,20.1,0
"2015-08-12 18:00:00",703,37.1,33.8,0
"2015-08-12 24:00:00",704,34.3,25.2,0
"2015-08-13 06:00:00",705,26.6,19.5,0
"2015-08-13 12:00:00",706,37.6,19.8,0
"2015-08-13 18:00:00",707,39.5,35.7,0
"2015-08-13 24:00:00",708,35.8,24.5,0
"2015-08-14 06:00:00",709,25.3,19.7,0
"2015-08-14 12:00:00",710,39.4,20.4,0
"2015-08-14 18:00:00",711,42.1,35.5,0
"2015-08-14 24:00:00",712,37.1,29.3,0
"2015-08-15 06:00:00",713,29.5,21.4,0
