"TOA5","Tower3","CR1000","67786","CR1000.Std.27.04","CPU:106330-3.CR1","38136","SixHr"
"TIMESTAMP","RECORD","MaxAT","MinAT","TotPrec"
"TS","RN","Deg_C","Deg_C",""
"","","Max","Min","Tot"
"2015-07-06 18:00:00",548,35.5,30.3,0
"2015-07-06 24:00:00",549,35.6,25.6,0
"2015-07-07 06:00:00",550,25.7,19.9,0
"2015-07-07 12:00:00",551,28.9,20.2,0
"2015-07-07 18:00:00",552,32.5,19.6,0.275
"2015-07-07 24:00:00",553,25.1,19.2,0
"2015-07-08 06:00:00",554,19.2,14.8,0
"2015-07-08 12:00:00",555,28,14.7,0
"2015-07-08 18:00:00",556,32.5,27.5,0
"2015-07-08 24:00:00",557,29.2,22.4,0
"2015-07-09 06:00:00",558,23.4,18,0.5
"2015-07-09 12:00:00",559,26.7,18,0
"2015-07-09 18:00:00",560,31.5,26.4,0
"2015-07-09 24:00:00",561,29.7,20,0.075
"2015-07-10 06:00:00",562,20.1,18.6,0
"2015-07-10 12:00:00",563,25.9,18.5,0
"2015-07-10 18:00:00",564,29,24.1,0
"2015-07-10 24:00:00",565,25.4,17.7,0.7
"2015-07-11 06:00:00",566,20.2,17.5,0.075
"2015-07-11 12:00:00",567,25.9,17.2,0
"2015-07-11 18:00:00",568,32.7,25.7,0
"2015-07-11 24:00:00",569,32.7,23.7,0
"2015-07-12 06:00:00",570,23.9,19,0
"2015-07-12 12:00:00",571,31,19.2,0
"2015-07-12 18:00:00",572,35.7,31,0
"2015-07-12 24:00:00",573,35.7,23.2,0
"2015-07-13 06:00:00",574,25.9,20.5,0
"2015-07-13 12:00:00",575,33.4,20,0
"2015-07-13 18:00:00",576,36.5,33.2,0
"2015-07-13 24:00:00",577,35.9,25.2,0
"2015-07-14 06:00:00",578,26.2,22.7,0
"2015-07-14 12:00:00",579,31.2,22.5,0.025
"2015-07-14 18:00:00",580,35.9,30.8,0
"2015-07-14 24:00:00",581,34.8,24.7,0
"2015-07-15 06:00:00",582,25.9,19.9,0
"2015-07-15 12:00:00",583,30.7,19.7,0
"2015-07-15 18:00:00",584,34.9,30.7,0
"2015-07-15 24:00:00",585,32.3,23.2,0
"2015-07-16 06:00:00",586,24.9,19.9,0
"2015-07-16 12:00:00",587,31,19.5,0
"2015-07-16 18:00:00",588,35,31,0
"2015-07-16 24:00:00",589,34.6,24.7,0
"2015-07-17 06:00:00",590,24.7,22,0
