TOA5	Tower3	CR1000	67786	CR1000.Std.27.04	CPU:106330-3.CR1	38136	ThreeHr
TIMESTAMP	RECORD	TotPrec					
TS	RN						
		Tot					
2/19/15 18:00	0	0					
2/19/15 21:00	1	0					
40593	2	0					
2/20/15 3:00	3	0					
2/20/15 6:00	4	0					
2/20/15 9:00	5	0					
2/20/15 12:00	6	0					
2/20/15 15:00	7	0					
2/20/15 18:00	8	0					
2/20/15 21:00	9	0					
40594	10	0					
2/21/15 3:00	11	0					
2/21/15 6:00	12	0					
2/21/15 9:00	13	0					
2/21/15 12:00	14	0					
2/21/15 15:00	15	0					
2/21/15 18:00	16	0					
2/21/15 21:00	17	0					
40595	18	0					
2/22/15 3:00	19	0					
2/22/15 6:00	20	0					
2/22/15 9:00	21	0					
2/22/15 12:00	22	0					
2/22/15 15:00	23	0					
2/22/15 18:00	24	0					
2/22/15 21:00	25	0					
40596	26	0					
2/23/15 3:00	27	0					
2/23/15 6:00	28	0					
2/23/15 9:00	29	0					
2/23/15 12:00	30	0					
2/23/15 15:00	31	0					
2/23/15 18:00	32	0					
2/23/15 21:00	33	0					
40597	34	0					
2/24/15 3:00	35	0					
2/24/15 6:00	36	0					
2/24/15 9:00	37	0					
2/24/15 12:00	38	0					
2/24/15 15:00	39	0					
2/24/15 18:00	40	0					
2/24/15 21:00	41	0.125					
40598	42	0.025					
2/25/15 3:00	43	0					
2/25/15 6:00	44	0					
2/25/15 9:00	45	0					
2/25/15 12:00	46	0					
2/25/15 15:00	47	0					
2/25/15 18:00	48	0					
2/25/15 21:00	49	0					
40599	50	0					
2/26/15 3:00	51	0					
2/26/15 6:00	52	0					
2/26/15 9:00	53	0					
2/26/15 12:00	54	0					
2/26/15 15:00	55	0					
2/26/15 18:00	56	0					
2/26/15 21:00	57	0					
40600	58	0					
2/27/15 3:00	59	0					
2/27/15 6:00	60	0					
2/27/15 9:00	61	0					
2/27/15 12:00	62	0					
2/27/15 15:00	63	0					
2/27/15 18:00	64	0					
2/27/15 21:00	65	0					
40601	66	0					
2/28/15 3:00	67	0					
2/28/15 6:00	68	0					
2/28/15 9:00	69	0					
2/28/15 12:00	70	0					
2/28/15 15:00	71	0					
2/28/15 18:00	72	0					
2/28/15 21:00	73	0					
40602	74	0					
3/1/15 3:00	75	0					
3/1/15 6:00	76	0					
3/1/15 9:00	77	0					
3/1/15 12:00	78	0					
3/1/15 15:00	79	0					
3/1/15 18:00	80	0					
3/1/15 21:00	81	0					
40603	82	0					
3/2/15 3:00	83	0					
3/2/15 6:00	84	0					
3/2/15 9:00	85	0					
3/2/15 12:00	86	0					
3/2/15 15:00	87	0					
3/2/15 18:00	88	0.05					
3/2/15 21:00	89	0.075					
40604	90	0					
3/3/15 3:00	91	0					
3/3/15 6:00	92	0					
3/3/15 9:00	93	0.2					
3/3/15 12:00	94	0.15					
3/3/15 15:00	95	0					
3/3/15 18:00	96	0					
3/3/15 21:00	97	0					
40605	98	0					
3/4/15 3:00	99	0					
3/4/15 6:00	100	0					
3/4/15 9:00	101	0					
3/4/15 12:00	102	0					
3/4/15 15:00	103	0					
3/4/15 18:00	104	0					
3/4/15 21:00	105	0					
40606	106	0					
3/5/15 3:00	107	0					
3/5/15 6:00	108	0					
3/5/15 9:00	109	0					
3/5/15 12:00	110	0					
3/5/15 15:00	111	0					
3/5/15 18:00	112	0					
3/5/15 21:00	113	0					
40607	114	0					
3/6/15 3:00	115	0					
3/6/15 6:00	116	0					
3/6/15 9:00	117	0					
3/6/15 12:00	118	0					
3/6/15 15:00	119	0					
3/6/15 18:00	120	0					
3/6/15 21:00	121	0					
40608	122	0					
3/7/15 3:00	123	0					
3/7/15 6:00	124	0					
3/7/15 9:00	125	0					
3/7/15 12:00	126	0					
3/7/15 15:00	127	0					
3/7/15 18:00	128	0					
3/7/15 21:00	129	0					
40609	130	0					
3/8/15 3:00	131	0					
3/8/15 6:00	132	0					
3/8/15 9:00	133	0					
3/8/15 12:00	134	0					
3/8/15 15:00	135	0					
3/8/15 18:00	136	0					
3/8/15 21:00	137	0					
40610	138	0					
3/9/15 3:00	139	0					
3/9/15 6:00	140	0					
3/9/15 9:00	141	0					
3/9/15 12:00	142	0					
3/9/15 15:00	143	0					
3/9/15 18:00	144	0					
3/9/15 21:00	145	0					
40611	146	0					
3/10/15 3:00	147	0					
3/10/15 6:00	148	0					
3/10/15 9:00	149	0					
3/10/15 12:00	150	0					
3/10/15 15:00	151	0					
3/10/15 18:00	152	0					
3/10/15 21:00	153	0					
40612	154	0					
3/11/15 3:00	155	0					
3/11/15 6:00	156	0					
3/11/15 9:00	157	0					
3/11/15 12:00	158	0					
3/11/15 15:00	159	0					
3/11/15 18:00	160	0					
3/11/15 21:00	161	0					
40613	162	0					
3/12/15 3:00	163	0					
3/12/15 6:00	164	0					
3/12/15 9:00	165	0					
3/12/15 12:00	166	0					
3/12/15 15:00	167	0					
3/12/15 18:00	168	0					
3/12/15 21:00	169	0					
40614	170	0					
3/13/15 3:00	171	0					
3/13/15 6:00	172	0					
3/13/15 9:00	173	0					
3/13/15 12:00	174	0					
3/13/15 15:00	175	0					
3/13/15 18:00	176	0					
3/13/15 21:00	177	0					
40615	178	0					
3/14/15 3:00	179	0					
3/14/15 6:00	180	0					
3/14/15 9:00	181	0					
3/14/15 12:00	182	0					
3/14/15 15:00	183	0					
3/14/15 18:00	184	0					
3/14/15 21:00	185	0					
40616	186	0					
3/15/15 3:00	187	0					
3/15/15 6:00	188	0					
3/15/15 9:00	189	0					
3/15/15 12:00	190	0					
3/15/15 15:00	191	0					
3/15/15 18:00	192	0					
3/15/15 21:00	193	0					
40617	194	0					
3/16/15 3:00	195	0					
3/16/15 6:00	196	0					
3/16/15 9:00	197	0					
3/16/15 12:00	198	0					
3/16/15 15:00	199	0					
3/16/15 18:00	200	0					
3/16/15 21:00	201	0					
40618	202	0					
3/17/15 3:00	203	0					
3/17/15 6:00	204	0					
3/17/15 9:00	205	0					
3/17/15 12:00	206	0					
3/17/15 15:00	207	0					
3/17/15 18:00	208	0					
3/17/15 21:00	209	0					
40619	210	0					
3/18/15 3:00	211	0					
3/18/15 6:00	212	0.025					
3/18/15 9:00	213	0					
3/18/15 12:00	214	0					
3/18/15 15:00	215	0					
3/18/15 18:00	216	0					
3/18/15 21:00	217	0.025					
40620	218	0					
3/19/15 3:00	219	0					
3/19/15 6:00	220	0					
3/19/15 9:00	221	0					
3/19/15 12:00	222	0					
3/19/15 15:00	223	0					
3/19/15 18:00	224	0					
3/19/15 21:00	225	0					
40621	226	0					
3/20/15 3:00	227	0					
3/20/15 6:00	228	0					
3/20/15 9:00	229	0					
3/20/15 12:00	230	0					
3/20/15 15:00	231	0					
3/20/15 18:00	232	0					
3/20/15 21:00	233	0					
40622	234	0					
3/21/15 3:00	235	0					
3/21/15 6:00	236	0					
3/21/15 9:00	237	0					
3/21/15 12:00	238	0					
3/21/15 15:00	239	0					
3/21/15 18:00	240	0					
3/21/15 21:00	241	0					
40623	242	0					
3/22/15 3:00	243	0					
3/22/15 6:00	244	0					
3/22/15 9:00	245	0					
3/22/15 12:00	246	0					
3/22/15 15:00	247	0					
3/22/15 18:00	248	0					
3/22/15 21:00	249	0					
40624	250	0					
3/23/15 3:00	251	0					
3/23/15 6:00	252	0					
3/23/15 9:00	253	0					
3/23/15 12:00	254	0					
3/23/15 15:00	255	0					
3/23/15 18:00	256	0					
3/23/15 21:00	257	0					
40625	258	0					
3/24/15 3:00	259	0					
3/24/15 6:00	260	0					
3/24/15 9:00	261	0					
3/24/15 12:00	262	0					
3/24/15 15:00	263	0					
3/24/15 18:00	264	0					
3/24/15 21:00	265	0					
40626	266	0					
3/25/15 3:00	267	0					
3/25/15 6:00	268	0					
3/25/15 9:00	269	0					
3/25/15 12:00	270	0					
3/25/15 15:00	271	0					
3/25/15 18:00	272	0					
3/25/15 21:00	273	0					
40627	274	0					
3/26/15 3:00	275	0					
3/26/15 6:00	276	0					
3/26/15 9:00	277	0					
3/26/15 12:00	278	0					
3/26/15 15:00	279	0					
3/26/15 18:00	280	0					
3/26/15 21:00	281	0					
40628	282	0					
3/27/15 3:00	283	0					
3/27/15 6:00	284	0					
3/27/15 9:00	285	0					
3/27/15 12:00	286	0					
3/27/15 15:00	287	0					
3/27/15 18:00	288	0					
3/27/15 21:00	289	0					
40629	290	0					
3/28/15 3:00	291	0					
3/28/15 6:00	292	0					
3/28/15 9:00	293	0					
3/28/15 12:00	294	0					
3/28/15 15:00	295	0					
